source,author,title,description,url,urlToImage,publishedAt,content,title_length,published_date,is_long_title
"{'id': None, 'name': 'Arsenal.com'}",Unknown Author,Team news: Unchanged team to face West Ham - Arsenal.com,Find out who Mikel Arteta has selected for this afternoon's Premier League game against West Ham United,https://www.arsenal.com/news/team-news-unchanged-team-face-west-ham,https://www.arsenal.com/sites/default/files/styles/desktop_16x9/public/london-colney-england-gabriel-magalhaes-and-bukayo-saka-of-arsenal-during-the-training_gvii6fu6.jpeg?h=629115dd&auto=webp&itok=MnjY3-b-,2026-05-10 14:15:56+00:00,"Mikel Arteta has stuck with the same XI that started each of our past two games, as we take on West Ham United in our penultimate away game of the season.
It means Bukayo Saka starts again for the P… [+1342 chars]",56,2026-05-10,True
"{'id': 'fox-news', 'name': 'Fox News'}",Unknown Author,"Iran war, redistricting battle lead Sunday shows - Fox News",UN Ambassador Mike Waltz and Sen. Jack Reed's discussions about the U.S. strategy on Iran and the fight for congressional maps are among the key takeaways from the Sunday morning talk shows.,https://www.foxnews.com/live-news/sunday-show-highlights-iran-redistricting-fight,https://assets.foxnews.com/liveblog/fn/prod/images/2026/05/313de6be296570656d49b246af79a551.jpg,2026-05-10 14:09:45+00:00,"Iran is trying to choke off the entire worlds economy as the regime escalates attacks on global shipping and infrastructure, according to U.S. Ambassador to the United Nations Mike Waltz, who declare… [+1556 chars]",59,2026-05-10,True
"{'id': None, 'name': 'NPR'}",Chandelis Duster,Keir Starmer's party lost big in U.K. local elections. Here’s what comes next. - NPR,"U.K. Prime Minister Keir Starmer's Labour party suffered major losses in local elections held across Britain last week. So far, Starmer has rejected calls for his resignation.",https://www.npr.org/2026/05/10/nx-s1-5817491/uk-elections-keir-starmer-resign-reform-green,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/2416x1359+0+129/resize/1400/quality/85/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F79%2Fd5%2F92acaa384d2f97bd1cf672793296%2Fap26125316832862.jpg,2026-05-10 12:27:36+00:00,"U.K. Prime Minister Keir Starmer and his Labour party suffered major losses in elections held across Britain last week, resulting in multiple calls for Starmer to resign.
The historic losses are a r… [+5109 chars]",84,2026-05-10,True
"{'id': None, 'name': 'BGR'}",Aaron Greenbaum,"Not Apple TV, Not Fire TV Stick: This Streaming Device Gets Consumer Reports' Top Rating - bgr.com","When it comes to top streaming devices, many might point to the Apple TV or the Amazon Fire TV Stick, but according to Consumer Reports, another device wins.",https://www.bgr.com/2163875/consumer-reports-top-rated-streaming-device-nvidia-shield/,https://www.bgr.com/img/gallery/not-apple-tv-not-fire-tv-stick-this-streaming-device-gets-consumer-reports-top-rating/l-intro-1777846947.jpg,2026-05-10 11:47:00+00:00,"Many people rely on streaming services for entertainment, so much so that streaming apps are often built into smart TVs. However, don't count out devices like the Amazon Fire TV Stick just yet, as th… [+1359 chars]",98,2026-05-10,True
"{'id': None, 'name': 'Science Daily'}",Unknown Author,“Cannot be explained” – New ultra stainless steel stuns researchers - ScienceDaily,A team at the University of Hong Kong has developed a new “super steel” that can survive the harsh conditions needed to make green hydrogen from seawater. The material uses an unexpected double-protection mechanism that resists corrosion far better than conve…,https://www.sciencedaily.com/releases/2026/05/260510030950.htm,https://www.sciencedaily.com/images/1920/ultra-stainless-steel.webp,2026-05-10 11:41:29+00:00,A stainless steel breakthrough from the University of Hong Kong (HKU) could help solve one of the biggest problems facing green hydrogen: how to build electrolyzers that are tough enough for seawater… [+8049 chars],82,2026-05-10,True
"{'id': 'bloomberg', 'name': 'Bloomberg'}","Salma El Wardany, Arsalan Shahla",US Awaits Iran Reply as Aramco Says Hormuz Opening No Quick Fix - Bloomberg.com,"A drone strike briefly set a cargo vessel ablaze in the Persian Gulf, the latest shipping attack to test a fragile ceasefire as the US awaits Iran’s response to its proposal to end 10 weeks of war.",https://www.bloomberg.com/news/articles/2026-05-10/us-awaits-iran-reply-as-aramco-says-hormuz-opening-no-quick-fix,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iPB0X9zUYyng/v1/1200x800.jpg,2026-05-10 11:27:41+00:00,"A drone strike briefly set a cargo vessel ablaze in the Persian Gulf, the latest shipping attack to test a fragile ceasefire as the US awaits Irans response to its proposal to end 10 weeks of war.
Q… [+266 chars]",79,2026-05-10,True
"{'id': None, 'name': 'The Daily Galaxy --Great Discoveries Channel'}",Arezki Amiri,Psychologists Say People Who Still Use Paper Calendars Aren't Stubborn or Old-Fashioned. Their Brains Are Wired to Process Information in a Richer Way - The Daily Galaxy,"Handwriting on paper doesn't just feel different. It forces the brain into a deeper kind of encoding that screens cannot trigger, and the difference shows up on MRI scans within an hour.",https://dailygalaxy.com/2026/05/paper-calendars-brain-memory-digital-comparison/,https://dailygalaxy.com/wp-content/uploads/2026/05/Paper-Calendar-Users-May-Process-Information-More-Deeply-scaled.jpg,2026-05-10 11:16:00+00:00,"A pen presses grooves into a paper calendar while someone scribbles down an appointment. An hour later, that person recalls the details faster and with greater accuracy than someone who typed the sam… [+5947 chars]",169,2026-05-10,True
"{'id': 'cnn', 'name': 'CNN'}",Ray Sanchez,"In the Kristin Smart case, key questions remain after 3 decades - CNN","The investigation into the 1996 disappearance of Kristin Smart has been characterized by decades of critical questions, starting with the whereabouts of her remains.",https://www.cnn.com/2026/05/10/us/kristin-smart-case-key-questions,"https://media.cnn.com/api/v1/images/stellar/prod/still-93029911-12562-403-still.jpg?c=16x9&q=w_800,c_fill",2026-05-10 10:30:50+00:00,"The investigation into the 1996 disappearance of Kristin Smart has been characterized by decades of critical questions, starting with the whereabouts of her remains.
Now, new questions are emerging … [+7875 chars]",69,2026-05-10,True
"{'id': None, 'name': 'BGR'}",José Adorno,5 Cool USB-C Gadgets You Should Plug Into Your New iPad - bgr.com,"The USB-C port on your iPad is good for more than just charging your device, as you can use these devices to get the most out of your tablet.",https://www.bgr.com/2163872/cool-usb-c-gadgets-plug-into-with-new-ipad/,https://www.bgr.com/img/gallery/5-cool-usb-c-gadgets-you-should-plug-into-your-new-ipad/l-intro-1777056020.jpg,2026-05-10 10:17:00+00:00,"Apple promotes that all iPad models feature an all-day battery, which can be misleading depending on how you use your tablet. A solid backup option is to carry a powerful power bank. While regular iP… [+1050 chars]",65,2026-05-10,True
"{'id': None, 'name': 'Bloody Elbow'}",Unknown Author,Dana White's claim about Khamzat Chimaev's future countered by Arman Tsarukyan after UFC 328 - Bloody Elbow,Arman Tsarukyan is tipping 'Borz' to get his revenge...,https://bloodyelbow.com/2026/05/10/dana-whites-claim-about-khamzat-chimaevs-future-countered-by-arman-tsarukyan-after-ufc-328/,https://bloodyelbow.com/wp-content/uploads/1/2026/05/GettyImages-2275391899-scaled.jpg,2026-05-10 10:00:00+00:00,"Arman Tsarukyan is predicting revenge for Khamzat Chimaev after Saturdays event in Newark.
The UFC lightweight star was in Chimaevs corner for his first defense of the middleweight title at the Prud… [+1676 chars]",107,2026-05-10,True
